,month,day,T_high_avg,T_low_avg,T_max,T_max_year,period_T_high,T_min,T_min_year,period_T_low
0,1,1,-3.2,-11.9,5.5,2000,1975-2006,-26.0,1999,1975-2006
1,1,2,-3.4,-12.1,10.0,2000,1975-2015,-31.0,1999,1975-2015
2,1,3,-3.5,-12.4,9.0,1998,1975-2013,-32.0,1981,1975-2013
3,1,4,-3.7,-12.6,11.0,2007,1975-2013,-33.0,1981,1975-2013
4,1,5,-3.8,-12.8,10.0,2007,1975-2015,-26.1,1976,1975-2015
5,1,6,-3.9,-13.0,6.0,2012,1975-2014,-31.0,1996,1975-2014
6,1,7,-4.0,-13.1,13.0,2008,1975-2015,-28.0,1996,1975-2013
7,1,8,-4.2,-13.3,4.5,2000,1975-2015,-28.0,1986,1975-2015
8,1,9,-4.3,-13.4,5.0,2002,1975-2015,-27.8,1977,1975-2015
9,1,10,-4.3,-13.6,10.0,1975,1975-2014,-31.0,1982,1975-2014
10,1,11,-4.4,-13.7,10.0,1975,1975-2013,-30.0,1981,1975-2013
11,1,12,-4.5,-13.8,10.0,2005,1975-2015,-33.0,1981,1975-2015
12,1,13,-4.5,-13.9,14.0,2005,1975-2015,-26.0,1999,1975-2015
13,1,14,-4.6,-14.0,14.0,1995,1975-2015,-30.0,2009,1975-2015
14,1,15,-4.6,-14.1,3.5,2000,1975-2015,-32.0,1994,1975-2015
15,1,16,-4.7,-14.2,7.0,1996,1975-2014,-34.0,1994,1975-2015
16,1,17,-4.7,-14.2,8.0,1986,1975-2014,-32.5,1994,1975-2014
17,1,18,-4.7,-14.2,11.0,1996,1975-2012,-34.4,1977,1975-2012
18,1,19,-4.7,-14.3,6.0,2006,1975-2012,-31.0,1979,1975-2012
19,1,20,-4.7,-14.3,6.0,2006,1975-2015,-25.0,1975,1975-2015
20,1,21,-4.7,-14.3,8.5,1997,1975-2015,-31.0,1984,1975-2015
21,1,22,-4.7,-14.3,9.0,1997,1975-2015,-29.5,2000,1975-2015
22,1,23,-4.7,-14.3,9.5,1999,1975-2015,-32.8,1976,1975-2015
23,1,24,-4.6,-14.2,2.5,1996,1975-2014,-29.0,2011,1975-2014
24,1,25,-4.6,-14.2,6.0,2002,1975-2013,-29.0,2004,1975-2013
25,1,26,-4.5,-14.1,7.5,2002,1975-2015,-28.0,2004,1975-2015
26,1,27,-4.4,-14.1,9.0,2002,1975-2015,-36.0,2003,1975-2015
27,1,28,-4.4,-14.0,6.0,2002,1975-2015,-29.5,2005,1975-2015
28,1,29,-4.3,-13.9,12.5,2013,1975-2015,-23.0,2007,1975-2015
29,1,30,-4.2,-13.8,13.0,2013,1975-2015,-28.0,2003,1975-2015
