date,T_high,T_low,h_rain,h_snow,h_all_precip,temp_src_id,precip_src_id
2014-01-01,-4.0,-16.5,0.0,0.0,0.0,,
2014-01-02,5.0,-43.5,5.0,0.0,5.0,,
2014-01-03,4.0,-7.0,0.0,0.0,0.0,,
2014-01-04,-18.0,-22.0,0.0,0.0,0.0,,
2014-01-05,-21.5,-35.0,0.0,0.0,0.0,,
2014-01-06,-4.0,-29.5,0.0,0.0,0.0,,
2014-01-07,-5.0,-16.0,0.0,0.0,0.0,,
2014-01-08,-2.0,-13.0,0.0,0.0,0.0,,
2014-01-09,0.0,-10.0,0.0,0.0,0.0,,
2014-01-10,-1.0,-11.0,0.0,0.0,0.0,,
2014-01-11,5.5,-10.0,0.0,0.0,0.0,,
2014-01-12,-1.0,-5.0,0.0,0.0,0.0,,
2014-01-13,4.0,-10.5,0.0,0.0,0.0,,
2014-01-14,4.0,-8.0,0.0,0.0,0.0,,
2014-01-15,4.5,-6.0,0.0,0.0,0.0,,
2014-01-16,2.0,-9.0,0.0,0.0,0.0,,
2014-01-17,5.5,-6.5,0.0,0.0,0.0,,
2014-01-18,3.0,-7.5,0.0,0.0,0.0,,
2014-01-19,5.0,-3.5,0.0,0.0,0.0,,
2014-01-20,0.0,-9.0,0.0,0.0,0.0,,
2014-01-21,0.0,-9.0,0.0,0.0,0.0,,
2014-01-22,-9.0,-12.5,0.0,0.0,0.0,,
2014-01-23,3.0,-18.0,0.0,0.0,0.0,,
2014-01-24,5.5,-5.0,0.0,0.0,0.0,,
2014-01-25,7.5,-4.5,0.0,0.0,0.0,,
2014-01-26,1.5,-20.9,0.0,0.0,0.0,7485.0,3151.0
2014-01-27,-15.9,-23.5,0.0,0.0,0.0,7485.0,3151.0
2014-01-28,-3.0,-20.5,0.0,0.0,0.0,,
2014-01-29,-4.5,-11.0,0.0,50.0,5.0,,
2014-01-30,-17.0,-21.5,0.0,0.0,0.0,,
2014-01-31,-12.5,-24.0,0.0,0.0,0.0,,
2014-02-01,-11.0,-19.0,0.0,0.0,0.0,,
2014-02-02,3.5,-19.0,0.0,0.0,0.0,,
2014-02-03,-11.0,-22.0,0.0,0.0,0.0,,
2014-02-04,-18.5,-26.0,0.0,0.0,0.0,,
2014-02-05,-18.0,-28.5,0.0,0.0,0.0,,
2014-02-06,-21.0,-32.5,0.0,0.0,0.0,,
2014-02-07,-12.5,-28.0,0.0,0.0,0.0,,
2014-02-08,-14.5,-23.5,0.0,0.0,0.0,,
2014-02-09,-16.0,-27.0,0.0,0.0,0.0,,
2014-02-10,-5.5,-27.0,0.0,0.0,0.0,,
2014-02-11,-3.5,-18.0,0.0,0.0,0.0,,
2014-02-12,3.0,-23.5,0.0,0.0,0.0,,
2014-02-13,-2.1,-12.3,0.0,10.0,1.0,7485.0,3151.0
2014-02-14,-0.2,-11.5,0.0,0.0,0.0,7485.0,3151.0
2014-02-15,3.5,-8.0,0.0,0.0,0.0,,
2014-02-16,5.5,-4.5,0.0,0.0,0.0,,
2014-02-17,5.5,-6.5,0.0,0.0,0.0,,
2014-02-18,5.0,-5.0,0.0,0.0,0.0,,
2014-02-19,2.0,-3.0,0.0,0.0,0.0,,
2014-02-20,0.5,-11.0,0.0,0.0,0.0,,
2014-02-21,-2.0,-10.5,0.0,0.0,0.0,,
2014-02-22,-9.0,-15.0,0.0,0.0,0.0,,
2014-02-23,-14.0,-22.0,0.0,0.0,0.0,,
2014-02-24,-12.5,-26.0,0.0,0.0,0.0,,
2014-02-25,-11.5,-23.0,0.0,0.0,0.0,,
2014-02-26,1.0,-20.5,0.0,0.0,0.0,,
2014-02-27,-1.0,-21.0,0.0,0.0,0.0,,
2014-02-28,-20.0,-24.0,0.0,0.0,0.0,,
2014-03-01,-23.0,-34.5,0.0,0.0,0.0,,
2014-03-02,-17.5,-29.0,0.0,20.0,2.0,,
2014-03-03,-12.0,-21.0,0.0,0.0,0.0,,
2014-03-04,-6.0,-17.5,0.0,0.0,0.0,,
2014-03-05,-5.0,-18.5,0.0,10.0,1.0,,
2014-03-06,-10.0,-15.0,0.0,24.0,2.4,,
2014-03-07,-6.0,-16.0,0.0,0.0,0.0,,
2014-03-08,5.0,-13.0,0.0,0.0,0.0,,
2014-03-09,10.0,-1.0,0.0,0.0,0.0,,
2014-03-10,7.5,-0.5,0.0,0.0,0.0,,
2014-03-11,7.5,-4.5,0.0,0.0,0.0,,
2014-03-12,12.0,-3.5,0.0,0.0,0.0,,
2014-03-13,6.0,-2.0,0.0,0.0,0.0,,
2014-03-14,10.0,-4.0,0.0,0.0,0.0,,
2014-03-15,10.0,-3.0,0.0,0.0,0.0,,
2014-03-16,13.0,0.5,0.4,0.0,0.4,,
2014-03-17,7.5,0.0,0.0,0.0,0.0,,
2014-03-18,7.0,-5.0,3.0,0.0,3.0,,
2014-03-19,5.0,-7.0,0.0,0.0,0.0,,
2014-03-20,4.0,-4.5,0.0,0.0,0.0,,
2014-03-21,-6.0,-14.0,0.0,0.0,0.0,,
2014-03-22,-6.0,-15.0,0.0,0.0,0.0,,
2014-03-23,-2.5,-11.5,0.0,0.0,0.0,,
2014-03-24,-2.5,-14.5,0.0,0.0,0.0,,
2014-03-25,2.0,-12.0,0.0,0.0,0.0,,
2014-03-26,5.5,-9.0,0.0,10.0,1.0,,
2014-03-27,-3.5,-9.0,0.0,20.0,2.0,,
2014-03-28,-1.0,-12.0,0.0,0.0,0.0,,
2014-03-29,11.5,-7.5,0.0,0.0,0.0,,
2014-03-30,-0.5,-8.0,0.0,0.0,0.0,,
2014-03-31,0.5,-13.5,0.0,0.0,0.0,,
2014-04-01,4.5,-7.0,0.0,0.0,0.0,,
2014-04-02,5.5,-15.0,0.0,0.0,0.0,,
2014-04-03,8.0,-6.0,0.0,0.0,0.0,,
2014-04-04,11.0,-4.0,0.0,0.0,0.0,,
2014-04-05,14.0,-5.0,0.0,0.0,0.0,,
2014-04-06,12.3,-5.1,0.0,0.0,0.0,7485.0,3151.0
2014-04-07,13.2,-5.4,0.0,0.0,0.0,7485.0,3151.0
2014-04-08,21.5,1.0,0.0,0.0,0.0,,
2014-04-09,12.5,1.0,0.0,0.0,0.0,,
2014-04-10,14.5,-4.0,0.0,0.0,0.0,,
2014-04-11,12.5,-1.0,0.0,0.0,0.0,,
2014-04-12,1.0,-4.5,0.0,0.0,0.0,,
2014-04-13,3.6,-13.4,0.0,0.0,0.0,7485.0,3151.0
2014-04-14,14.5,-12.0,0.0,0.0,0.0,,
2014-04-15,12.0,-4.0,0.0,0.0,0.0,7485.0,3151.0
2014-04-16,5.0,-7.5,0.0,0.0,0.0,,
2014-04-17,13.0,-5.5,4.0,0.0,4.0,,
2014-04-18,15.0,2.0,2.0,0.0,2.0,,
2014-04-19,14.5,-1.0,0.0,0.0,0.0,,
2014-04-20,16.5,3.5,0.0,0.0,0.0,,
2014-04-21,18.0,-2.0,0.0,0.0,0.0,,
2014-04-22,23.0,3.0,13.4,0.0,13.4,,
2014-04-23,14.0,3.5,0.4,0.0,0.4,,
2014-04-24,14.0,-2.0,0.0,0.0,0.0,,
2014-04-25,16.5,-0.5,0.0,0.0,0.0,,
2014-04-26,5.0,-1.5,10.8,50.0,15.8,,
2014-04-27,10.8,-1.2,3.2,0.0,3.2,7485.0,3151.0
2014-04-28,10.0,-0.7,0.0,0.0,0.0,7485.0,3151.0
2014-04-29,14.5,0.5,0.0,0.0,0.0,,
2014-04-30,18.0,-1.5,0.0,0.0,0.0,,
2014-05-01,23.0,2.5,2.0,0.0,2.0,,
2014-05-02,8.5,5.0,6.8,0.0,6.8,,
2014-05-03,6.0,-1.0,1.0,0.0,1.0,,
2014-05-04,6.0,0.0,0.0,0.0,0.0,,
2014-05-05,15.0,4.0,4.0,0.0,4.0,,
2014-05-06,4.4,-3.2,2.0,0.0,2.0,7485.0,3151.0
2014-05-07,6.6,-8.3,0.0,0.0,0.0,7485.0,3151.0
2014-05-08,16.0,-1.5,0.0,0.0,0.0,,
2014-05-09,13.0,3.5,0.0,0.0,0.0,,
2014-05-10,11.0,2.5,1.0,0.0,1.0,,
2014-05-11,12.0,-2.5,0.0,0.0,0.0,,
2014-05-12,16.5,4.0,0.0,0.0,0.0,,
2014-05-13,16.2,-1.7,0.0,0.0,0.0,7485.0,3151.0
2014-05-14,17.5,-0.5,0.0,0.0,0.0,7485.0,3151.0
2014-05-15,21.0,2.0,0.0,0.0,0.0,,
2014-05-16,14.5,2.5,0.0,0.0,0.0,,
2014-05-17,18.5,0.5,0.4,0.0,0.4,,
2014-05-18,20.5,6.0,0.0,0.0,0.0,,
2014-05-19,18.0,5.5,3.0,0.0,3.0,,
2014-05-20,15.0,3.0,0.0,0.0,0.0,,
2014-05-21,26.0,2.0,0.0,0.0,0.0,,
2014-05-22,27.5,10.0,0.0,0.0,0.0,,
2014-05-23,30.0,10.5,0.0,0.0,0.0,,
2014-05-24,27.0,12.5,0.0,0.0,0.0,,
2014-05-25,24.0,9.0,1.8,0.0,1.8,,
2014-05-26,25.0,9.5,0.0,0.0,0.0,,
2014-05-27,23.0,5.0,0.0,0.0,0.0,,
2014-05-28,25.5,8.5,1.6,0.0,1.6,,
2014-05-29,20.5,7.5,0.0,0.0,0.0,,
2014-05-30,24.0,2.0,0.0,0.0,0.0,,
2014-05-31,21.5,8.0,2.0,0.0,2.0,,
2014-06-01,19.5,7.0,0.4,0.0,0.4,,
2014-06-02,22.0,5.0,1.0,0.0,1.0,,
2014-06-03,26.0,6.0,1.0,0.0,1.0,,
2014-06-04,21.0,7.0,1.6,0.0,1.6,,
2014-06-05,14.3,2.4,0.0,0.0,0.0,7485.0,3151.0
2014-06-06,12.9,1.9,0.0,0.0,0.0,7485.0,3151.0
2014-06-07,19.0,3.0,0.0,0.0,0.0,,
2014-06-08,22.5,2.0,0.0,0.0,0.0,,
2014-06-09,26.0,2.5,5.4,0.0,5.4,,
